timestamp,latitude,longitude,altitude_m
2025-07-27 06:25:00,45.899097269866616,10.009594053961337,882.45
2025-07-27 06:26:00,45.899104697440386,10.008865085004246,893.0237288135594
2025-07-27 06:27:00,45.89934531567169,10.009184320906884,905.2172413793103
2025-07-27 06:28:00,45.899821764994726,10.009612892833301,917.3525423728814
2025-07-27 06:29:00,45.90030353749171,10.01008366048336,926.7033333333333
2025-07-27 06:30:00,45.900766803883016,10.010701809078455,932.99
2025-07-27 06:31:00,45.90104418899864,10.011455854866654,943.11
2025-07-27 06:32:00,45.90139439329505,10.012147125788033,947.3266666666666
2025-07-27 06:33:00,45.90172020625323,10.012926750350744,953.1866666666666
2025-07-27 06:34:00,45.902107873465866,10.013722188770771,958.9333333333333
2025-07-27 06:35:00,45.902670399751514,10.014112832956016,965.2866666666666
2025-07-27 06:36:00,45.90331797472248,10.014282446828181,961.3593220338983
2025-07-27 06:37:00,45.90380041161552,10.014600560534745,965.5
2025-07-27 06:38:00,45.904319912195206,10.014885536860675,972.1466666666668
2025-07-27 06:39:00,45.90488694654778,10.015090513508767,973.5033333333333
2025-07-27 06:40:00,45.905109046027064,10.015399809926748,967.5466666666666
2025-07-27 06:41:00,45.905284688808024,10.01573204062879,961.8933333333333
2025-07-27 06:42:00,45.905237356200814,10.016193025745451,948.2833333333333
2025-07-27 06:43:00,45.90557102719322,10.016925060655922,939.4066666666666
2025-07-27 06:44:00,45.90605580434203,10.01739475177601,944.7933333333333
2025-07-27 06:45:00,45.90666886232793,10.017841618973762,946.9300000000001
2025-07-27 06:46:00,45.90727090649307,10.018070083111525,951.27
2025-07-27 06:47:00,45.90782786719501,10.018220176454633,950.8766666666667
2025-07-27 06:48:00,45.90796342212707,10.018251903355122,946.5999999999999
2025-07-27 06:49:00,45.907981402706355,10.018270280677825,942.6466666666666
2025-07-27 06:50:00,45.90795292658731,10.018280854448676,944.7833333333333
2025-07-27 06:51:00,45.908058527391404,10.018639029935002,954.7033333333333
2025-07-27 06:52:00,45.908428941853344,10.019034143071622,964.1466666666666
2025-07-27 06:53:00,45.908540605567396,10.019095958210528,965.3
2025-07-27 06:54:00,45.90870930952951,10.019140074960887,962.4033333333334
2025-07-27 06:55:00,45.90878172637895,10.019149127416313,962.4
2025-07-27 06:56:00,45.909297024831176,10.019016693346202,966.13
2025-07-27 06:57:00,45.909941100049764,10.018753720913082,972.1366666666667
2025-07-27 06:58:00,45.91058475198224,10.018562419340014,983.5033333333333
2025-07-27 06:59:00,45.91119045484811,10.018182181287557,990.6233333333333
2025-07-27 07:00:00,45.91180647000799,10.017789924067669,1001.8965517241379
2025-07-27 07:01:00,45.91243877867237,10.01742133218795,1013.6533333333333
2025-07-27 07:02:00,45.913059120532125,10.01711511053145,1023.5433333333333
2025-07-27 07:03:00,45.91361190844327,10.01680370606482,1030.2633333333333
2025-07-27 07:04:00,45.91423588525504,10.016713836695999,1038.6366666666665
2025-07-27 07:05:00,45.91482460917905,10.016508399043232,1050.0966666666668
2025-07-27 07:06:00,45.91537942411378,10.016465513035655,1060.6233333333334
2025-07-27 07:07:00,45.91586639173329,10.016351083293557,1069.62
